Timestamp,Real_Temperature
2021-05-01 00:00:00,23.0
2021-05-02 00:00:00,21.0
2021-05-03 00:00:00,21.0
2021-05-04 00:00:00,23.0
2021-05-05 00:00:00,22.0
2021-05-06 00:00:00,23.0
2021-05-07 00:00:00,20.0
2021-05-08 00:00:00,24.0
2021-05-09 00:00:00,27.0
2021-05-10 00:00:00,24.0
2021-05-11 00:00:00,20.0
2021-05-12 00:00:00,21.0
2021-05-13 00:00:00,17.0
2021-05-14 00:00:00,26.0
2021-05-15 00:00:00,25.0
2021-05-16 00:00:00,22.0
2021-05-17 00:00:00,25.0
2021-05-18 00:00:00,22.0
2021-05-19 00:00:00,18.0
2021-05-20 00:00:00,22.0
2021-05-21 00:00:00,25.0
2021-05-22 00:00:00,22.0
2021-05-23 00:00:00,24.0
2021-05-24 00:00:00,27.0
2021-05-25 00:00:00,27.0
2021-05-26 00:00:00,25.0
2021-05-27 00:00:00,20.0
2021-05-28 00:00:00,25.0
2021-05-29 00:00:00,27.0
2021-05-30 00:00:00,26.0
2021-05-31 00:00:00,24.0
2021-06-01 00:00:00,25.0
2021-06-02 00:00:00,25.0
2021-06-03 00:00:00,26.0
2021-06-04 00:00:00,23.0
2021-06-05 00:00:00,26.0
2021-06-06 00:00:00,23.0
2021-06-07 00:00:00,28.0
2021-06-08 00:00:00,31.0
2021-06-09 00:00:00,30.0
2021-06-10 00:00:00,30.0
2021-06-11 00:00:00,28.0
2021-06-12 00:00:00,26.0
2021-06-13 00:00:00,27.0
2021-06-14 00:00:00,23.0
2021-06-15 00:00:00,28.0
2021-06-16 00:00:00,24.0
2021-06-17 00:00:00,26.0
2021-06-18 00:00:00,27.0
2021-06-19 00:00:00,23.0
2021-06-20 00:00:00,28.0
2021-06-21 00:00:00,27.0
2021-06-22 00:00:00,28.0
2021-06-23 00:00:00,25.0
2021-06-24 00:00:00,25.0
2021-06-25 00:00:00,27.0
2021-06-26 00:00:00,28.0
2021-06-27 00:00:00,26.0
2021-06-28 00:00:00,28.0
2021-06-29 00:00:00,27.0
2021-06-30 00:00:00,22.0
2021-07-01 00:00:00,22.0
2021-07-02 00:00:00,22.0
2021-07-03 00:00:00,26.0
2021-07-04 00:00:00,21.0
2021-07-05 00:00:00,25.0
2021-07-06 00:00:00,28.0
2021-07-07 00:00:00,30.0
2021-07-08 00:00:00,25.0
2021-07-09 00:00:00,25.0
2021-07-10 00:00:00,32.0
2021-07-11 00:00:00,31.0
2021-07-12 00:00:00,31.0
2021-07-13 00:00:00,28.0
2021-07-14 00:00:00,28.0
2021-07-15 00:00:00,30.0
2021-07-16 00:00:00,32.0
2021-07-17 00:00:00,32.0
2021-07-18 00:00:00,32.0
2021-07-19 00:00:00,34.0
2021-07-20 00:00:00,33.0
2021-07-21 00:00:00,33.0
2021-07-22 00:00:00,33.0
2021-07-23 00:00:00,33.0
2021-07-24 00:00:00,33.0
2021-07-25 00:00:00,33.0
2021-07-26 00:00:00,31.0
2021-07-27 00:00:00,30.0
2021-07-28 00:00:00,31.0
2021-07-29 00:00:00,32.0
2021-07-30 00:00:00,28.0
2021-07-31 00:00:00,32.0
2021-08-01 00:00:00,33.0
2021-08-02 00:00:00,32.0
2021-08-03 00:00:00,32.0
2021-08-04 00:00:00,34.0
2021-08-05 00:00:00,34.0
2021-08-06 00:00:00,33.0
2021-08-07 00:00:00,31.0
2021-08-08 00:00:00,28.0
2021-08-09 00:00:00,30.0
2021-08-10 00:00:00,36.0
2021-08-11 00:00:00,33.0
2021-08-12 00:00:00,28.0
2021-08-13 00:00:00,25.0
2021-08-14 00:00:00,25.0
2021-08-15 00:00:00,20.0
2021-08-16 00:00:00,22.0
2021-08-17 00:00:00,26.0
2021-08-18 00:00:00,30.0
2021-08-19 00:00:00,32.0
2021-08-20 00:00:00,32.0
2021-08-21 00:00:00,31.0
2021-08-22 00:00:00,32.0
2021-08-23 00:00:00,30.0
2021-08-24 00:00:00,30.0
2021-08-25 00:00:00,33.0
2021-08-26 00:00:00,35.0
2021-08-27 00:00:00,33.0
2021-08-28 00:00:00,34.0
2021-08-29 00:00:00,31.0
2021-08-30 00:00:00,33.0
2021-08-31 00:00:00,31.0
